0 Pl.lp+Re.sp.iot
353 Re.ca.al
354 Co.ic
355 Rf.un
356 Pl.gp
357 Pl.lp
358 Rf.meo.A
359 Pl.lp
360 Rf.meo.B
361 Pl.lp
362 Rf.meo.C
363 Pl.lp
364 Rf.meo.D
365 Pl.lp
366 Rf.meo.E
367 Pl.lp
368 Rf.meo.F
369 Co.ic
370 Pl.iv.wdm+Re.oe.F
371 Rs.rtp.qt
372-374 Re.oe.C
375 Re.oe.A
376-377 Re.oe.C
378 Rs.rae
379 Pl.iv
380 Rs.rtp.qt
381-384 Re.lr
385 Co.ic
386 Re.oe.C
387 Pl.iv.wdm
388 Rs.rtp.ot
389 Re.oe.E
390 Re.co.ovo
391 Re.oe.C
392 Kn.cod
393-394 Re.oe.C
395-396 Re.oe.E
397-398 Re.oe.C
399 Co.ic
400 Pl.iv
401-402 Re.ds.al
403-404 Rs.rtp.qt
405-406 Re.ds.al
407-410 Re.ca.al
411 Re.lr.al
412 Rf.meo
413 As.aau
414-415 Re.ca.al
416 Re.lr.al
417 Rf.meo
418 Co.fa
