0-0 As.bcs.al
768 Pl.gp
769-775 Ex.nel
776 Pl.gp
777-780 Rf.meo.C
781 Rf.meo.F
782 Rf.meo.C
783 Rf.rp
784-785 Rf.meo.C
786 Pl.gp
787 Re.sp.iot
788 Re.lr
789-800 Ex.nel
801-802 Rf.meo.C
803 Pl.lp
804 Rf.meo.C
805 Pl.lp
806 Rf.meo.C
807 Pl.lp
808 Rf.meo.C
809 Rf.meo.E
810 Rf.meo.F
811 Rf.meo.C
812 Pl.iv.wdm
813 Re.lr
814 Pl.gp
815 Re.sp.iot
816 Pl.gp
817 Rs.rtp.qt
818 Re.ca.al
819 Re.lr.al
820 Re.ca.al
821 Re.lr.al
822 Rf.meo
823 Pl.gp
824 Re.lr
825-826 Re.lr
827 Pl.gp
828 Co.ic
829 Kn.wk.fpc
830 Rf.meo
831 Rf.meo.A
832 Rf.meo.C
833 Rf.eoi
834 Re.hwa
835 Re.hwa.mr
836 Re.hwa
837 Re.hwa.er
838 Pl.gp
839-840 Rs.rtp.ot
841 Rf.meo.C
842 Rf.meo.F
843 Pl.gp
844 Kn.wk.fpc
845 Co.ic
846-848 Rf.eoi
849 Rf.rp
850-854 Rf.meo.C
855 Pl.gp
856 Kn.co
857 Rf.meo.C
858 Rf.meo.F
859 Pl.gp
860-862 Rf.meo.C
863 Pl.gp
864 Rf.meo.F
865-867 Rf.meo.C
868 Pl.gp
869-870 Re.oe.A
871 Pl.gp
872-873 Co.ic
874 Rf.meo.A
875 Rf.meo.D
876 Rf.meo.E
877-880 Rf.meo.C
881 Pl.gp
882 Re.lr
883 Rf.meo.C
884 Rf.meo.E
885-886 Rf.meo.F
887 Rf.meo.C
888 Pl.gp
889 Rs.rtp.afi
890 Re.lr
891-892 Rf.meo.C
893 Rf.meo.E
894 Rf.meo.F
895 Pl.gp
896 Pl.lp
897 Rs.rtp.ot
898 Re.lr
899-902 Re.ca.al
903 Re.hwa
904 Re.hwa.mr
905 Re.hwa.er
906 Rf.meo.C
907 Pl.lp
908 Rs.rtp.ot
909 Rf.meo.E
910 Rf.meo.C
911 Rf.meo
912 Rf.meo.C
913 Pl.gp
914-915 Re.lr
916 Pl.gp
917 Rf.meo.F
918 Rf.meo.C
919 Pl.gp
920 Pl.lp
921-924 Re.ds.al
925 Pl.lp
926-927 Co.ic
928 Pl.lp
929-930 Co.ic
931 Pl.lp
932-933 Co.ic
934 Pl.lp
935-937 Rf.meo.C
938 Pl.lp
939-943 Rf.meo.C
944 Pl.lp
945-946 Rf.meo.E
947 Pl.lp
948 Rf.meo.E
949 Pl.lp
950 Rf.meo.E
951 Pl.lp
952-953 Rf.meo.F
954 Kn.co
955 Rf.meo.C
956 Pl.gp
957-961 Rf.meo.C
962 Pl.gp
963 Rf.meo.C
964 Rf.meo.F
965-966 Rf.meo.E
967 Pl.gp
968 Pl.iv.wdm
969 Re.sp
970 Rs.rtp.qt
971-972 Re.lr
973 Pl.gp
974 Kn.co
975 Pl.gp
976 Re.sp.iot
977 Re.lr
978 Rf.meo.C
979 Rf.meo.E
980 Rf.meo.F
981 Pl.gp
982-983 Rf.meo.C
984 Rf.meo.E
985 Rf.meo.F
986-987 Pl.gp
988-993 Rs.rtp.ot
994 Rf.meo.F
995 Rf.meo.C
996 Pl.gp
997-1000 Re.lr
1001-1002 Co.ic
1003-1005 Rf.meo.C
1006 Pl.gp
1007 Re.oe.A
1008 Pl.gp
1009 Re.oe.F
1010 Pl.gp
1011 Co.ic
1012-1013 Rf.meo.C
1014 Rf.meo.E
1015 Rf.meo.F
1016 Pl.gp
1017 Re.hwa
1018 Re.hwa.er
1019 Re.hwa.mr
1020-1021 Re.lr
1022 Co.ic
1023 Pl.iv.wdm
1024 Re.oe.E
1025-1027 Kn.cod
1028 Kn.co
1029-1031 Rf.meo.C
1032 Pl.iv
1033 Kn.wk
1034 Rf.meo.C
1035 Pl.lp
1036 Rs.rtp.ot
1037 Rf.meo.F
1038-1039 Rf.meo.C
1040 Kn.co
1041-1045 Rf.meo.C
1046 Pl.gp
1047 Rs.rtp.ot
1048 Rf.meo.E
1049 Rf.meo.C
1050 Pl.gp
1051 Rf.meo.C
1052 Rs.rtp.afi
1053-1054 Rf.meo
1055 Pl.gp
1056 Re.sp
1057 Rf.meo.E
1058-1059 Rf.meo.C
1060 Pl.gp
1061 Re.oe.F
1062 Rf.meo.C
1063 Pl.gp
1064-1069 Rs.rtp.ot
1070 Rf.meo
1071-1073 Rf.meo.C
1074 Rf.meo
1075 Rf.meo.C
1076 Pl.gp
1077 Pl.lp
1078-1079 Rs.rae
1080 Pl.lp
1081 Co.ic
1082 Pl.lp
1083-1084 Kn.wk.fpc
1085 Pl.lp
1086 Co.ic
1087 Pl.lp
1088 Co.ic
1089 Pl.lp
1090 Rf.meo.C
1091 Pl.iv.wdm
1092 Rf.meo.C
1093-1094 Re.oe.C
1095-1096 Co.ic
1097 Re.hwa.un
1098 Pl.gp
1099 Rf.rp
1100 Rf.meo.E
1101 Rf.meo.C
1102 Pl.gp
1103-1105 Kn.co
1106 Rf.meo.C
1107 Pl.gp
1108-1110 Rs.rae
1111 Co.ic
1112-1113 Rf.meo.C
1114 Pl.gp
1115 Rf.meo.C
1116-1117 Re.oe.C
1118 Re.hwa.mr
1119 Re.hwa.er
1120 Pl.gp
1121-1122 Rf.meo.E
1123-1127 Rf.meo.C
1128 Co.fa
1129 Rf.meo.C
1130 Pl.gp
1131 Rf.meo.C
1132 Pl.gp
1133 Rs.rtp.qt
1134 Re.sp
1135-1136 Kn.co
1137 Re.sp
