0 As.bcs.al
713 Pl.iv
714-715 Rf.meo
716 Re.oe.F
717 Pl.gp
718 Rs.rtp.ot
719-721 Re.oe.E
722 Pl.iv
723-724 Re.oe.E
725 Pl.gp
726 Re.oe.E
727 Pl.iv
728 Re.oe.E
729 Pl.iv
730 Re.oe.E
731 Pl.iv
732-736 Re.oe.E
737 Pl.iv.wdm
738 Re.oe.F
739 Re.oe.E
740 Re.oe.A
741 Re.oe.C
742-743 Re.oe.E
744 Re.lr
745 Re.oe.F
746 Re.oe.E
747 Re.co.ovo
748 Pl.iv
749 Re.oe.C
750 Re.oe.E
751 Re.oe.F
752 Pl.gp
753-754 Re.oe.F
755 Re.oe.C
756 Re.oe.E
757 Re.oe.F
758 Re.oe.E
759 Pl.iv
760 Re.lr.al
761 Pl.iv
762 Re.lr.al
763 Pl.iv
764 Re.lr.al
765 Pl.gp
766-767 Kn.co
768 Re.lr
769 Co.ic
770 Re.oe.A
771 Re.oe.B
772 Re.oe.C
773 Re.oe.D
774 Re.oe.E
775 Re.oe.F
776 Re.oe.E
777 Pl.iv
778-780 Re.oe.E
781-782 Re.oe.F
783 Pl.gp
784-785 Re.oe.F
786 Pl.iv.wdm
787 Pl.iv
788 Re.oe.E
789 Pl.iv
790-791 Re.oe.C
792 Re.oe.F
793-794 Pl.iv
795 Re.oe.C
796 Rs.rtp.ot
797 Rf.eoi
798 Pl.iv
799 Rs.rtp.afi
800 Re.oe.C
801 Re.oe.F
802 Pl.iv
803-804 Kn.wk.fpc
805 Re.sp.iot
806 Re.lr
807 Pl.iv
808 Re.oe.C
809 Pl.iv
810-811 Re.oe.F
812 Rf.meo.C
813-816 Re.lr
817 Re.oe.C
818 Re.oe.E
819-820 Re.oe.F
821 Re.oe.E
822 Pl.iv
823 Re.oe.E
824 Re.lr
825 Re.oe.E
826-827 Re.oe.F
828 Pl.gp
829 Pl.lp
830-832 Re.ds.al
833 Pl.lp
834 Re.lr.al
835-836 Pl.lp
837-838 Re.oe.A
839 Pl.lp
840-841 Re.oe.B
842 Pl.lp
843 Re.oe.C
844 Pl.lp
845 Re.oe.D
846 Pl.lp
847 Re.oe.E
848 Pl.lp
849 Re.oe.F
850 Pl.iv
851 Re.co.ovo
852-853 Re.oe.F
854 Re.oe.C
855-856 Re.oe.F
857 Re.oe.C
858 Re.oe.E
859 Re.oe.F
860 Pl.iv
861-862 Re.oe.E
863 Pl.iv
864 Re.oe.E
865-866 Rf.eoi
867-869 Re.lr
870 Re.oe.E
871 Pl.iv
872 Rf.eoi
873-875 Re.oe.F
876-877 Pl.iv
878-879 Re.oe.E
880 Re.oe.F
881 Pl.iv
882 Re.oe.E
883 Re.oe.C
884 Pl.iv
885-887 Re.oe.C
888 Pl.gp
889-890 Rs.rtp.afi
891-892 Re.lr
893 Re.oe.C
894 Re.oe.A
895 Re.oe.B
896 Re.oe.D
897 Re.oe.E
898 Re.oe.F
899 Pl.iv.wdm
900-904 Re.oe.E
905 Re.oe.F
906 Rf.meo
907 Pl.gp
908-918 Re.oe.A
919-921 Re.oe.B
922-924 Re.oe.C
925-926 Re.oe.D
927-928 Re.oe.E
929-930 Re.oe.F
931 Pl.gp
932 Re.sp.iot
933 Re.lr
934 Re.oe.C
935 Re.oe.F
936 Re.oe.E
937 Kn.wk.fpc
938 Re.oe.F
939 Pl.iv
940 Re.oe.F
941 Re.lr
942 Pl.iv
943-944 Re.oe.C
945 Pl.iv
946 Re.oe.F
947 Re.oe.C
948 Re.oe.F
949 Re.oe.E
950 Co.ic
951 Pl.iv
952-954 Re.oe.E
955 Pl.iv
956 Re.oe.E
957 Re.oe.F
958 Rf.meo
959-960 Pl.iv
961 Re.oe.E
962 Rs.rtp.qt
963 Re.oe.E
964 Re.oe.F
965 Co.ic
966 Re.oe.F
967 Co.ic
968 Pl.gp
969-973 Re.oe.C
974-975 Rf.meo
976 Co.ic
977 Re.oe.A
978 Re.oe.B
979 Re.oe.C
980 Re.oe.D
981 Re.oe.E
982 Re.oe.F
983 Pl.iv
984-986 Re.oe.C
987 Rf.meo
988 Re.oe.F
989 Re.oe.C
990 Re.oe.A
991 Pl.gp
992-993 Rs.rtp.qt
994-995 Re.ds.al
996 Co.ic
997 Kn.wk.fpc
998 Pl.iv.wdm
999 Re.lr
1000-1001 Co.ic
1002 Pl.iv
1003-1005 Re.oe.C
1006 Rf.meo
1007 Re.oe.F
1008 Pl.gp
1009-1010 Re.sp
