0 Re.oe.B
452-453 Pl.lp
454 Rs.rae
455 Pl.lp
456 Rs.rae
457 Pl.lp
458 Rs.rae
459 Pl.lp
460 Rs.rae
461-462 Pl.lp
463 Rs.rae
464 Rs.rae
465 Rs.rae
466 Rs.rae
467 Pl.lp
468 Co.ic
469 Pl.iv
470 As.bcs
471-472 Re.lr
473 Re.sp.iot
474 Rs.rtp.ot
475 Rf.meo.C
476 Re.oe.C
477 Pl.gp
478 Re.oe.C
479-480 Rf.meo.C
481 Pl.iv
482 Re.sp
483 Re.lr
484 Re.sp
485-486 Re.ca.al
487 Re.lr.al
488 Pl.gp
489 Re.sp
490 Re.lr
491 Re.sp
492 Re.lr
493 Re.sp
494-495 Re.lr
496 Re.oe.C
497 Pl.gp
498 Kn.wk
499 Pl.lp
500 Rs.rae
501-504 Re.lr.al
505 Re.oe.A
506 Re.oe.C
507 Re.oe.E
508 Pl.gp
509-510 Rs.rtp.ot
511 Rf.meo.C
512 Rf.meo.E
513 Re.co.ovo
514 Re.lr
515 Rf.meo.A
516 Rf.meo.B
517 Rf.meo.C
518 Re.lr
519 Co.ic
520 Re.oe.E
521 Co.ic
522 Pl.iv
523-524 Re.sp
525 Co.ic
526 Re.oe.C
527 Pl.iv.wdm
528 Rs.rtp.afi
529 Re.oe.C
530 Re.oe.E
531 Re.oe.F
532-533 Re.oe.C
534 Pl.gp
535 Pl.lp
536-537 Re.oe.C
538 Pl.lp
539 Re.oe.E
540 Re.lr
541 Pl.lp
542 Re.oe.C
543 Pl.lp
544 Re.oe.E
545 Re.oe.C
546 Co.ic
547 Pl.gp
548 Pl.lp
549-550 Rs.rae
551 Pl.lp
552 Rs.rae
553 Pl.lp
554 Rs.rae
555 Pl.lp
556 Co.ic
557 Pl.lp
558 Rs.rae
559 Pl.lp
560 Rs.rae
561 Pl.lp
562-563 Rs.rae
564 Pl.lp
565 Co.ic
566 Pl.ib
567-568 Re.oe.C
569 Re.lr
570 Re.oe.C
571 Rf.meo.C
572 Pl.iv
573 Re.oe.C
574 Re.lr
575 Kn.co
576 Re.oe.E
577 Re.oe.C
578 Co.ic
579 Pl.iv
580 Re.oe.F
581 Re.oe.E
582 Rf.meo.C
583 Re.sp.iot
584 Pl.gp
585-588 Re.lr
589 Rf.eoi
590 Pl.iv
591 Rs.rtp.ot
592 Rf.meo.C
593 Co.fa
