0-5 Ex.nel.al
238 As.bcs
239 Re.oe.F
240 Pl.gp
241 Pl.lp
242-243 Rf.meo.C
244 Pl.lp
245 Rf.meo.E
246 Re.lr
247 Rf.meo.E
248 Re.oe.E
249 Rf.eoi
250 Re.lr.al
251-252 Re.lr
253 Pl.iv
254-255 Re.lr
256 Re.sp
257 Pl.gp
258-259 Re.cr
260 Co.ic
261 Pl.gp
262 Rf.meo.C
263 Rf.meo.E
264 Pl.gp
265-266 Re.lr
267 Pl.iv
268-271 Re.lr
272 Co.ic
273 Pl.gp
274 Rf.meo.C
275 Rs.rae
276 Rf.meo.E
277 Rs.rae
278 Kn.rot
279 Pl.iv.wdm
280-285 Rs.rtp.ot
286 Re.co.ovo
287 Rf.meo.C
288 Rf.meo.E
289 Pl.gp
290-291 Kn.wk.fpc
292 Rs.rae
293 Re.oe.A
294 Re.oe.E
295 Pl.iv
296-297 Re.lr
298-299 Re.ca.al
300 Co.ic
301-303 Co.ic
304 Pl.iv.wdm
305 Rf.eoi
306 Kn.rot
307 Re.oe.E
308-309 Re.lr
310 Pl.gp
311 Re.sp.iot
312 Re.oe.A
313 Re.oe.C
314 Pl.lp
315 Rs.rtp.ot
316-317 Rf.meo.C
318 Rf.meo.E
319 Pl.gp
320 Re.oe.E
321 Re.oe.C
322 Kn.rot
323 Pl.gp
324 Rs.rtp.afi
325 Pl.gp
326 Kn.wk.fpc
327 Re.sp.iot
328-329 Re.lr
330 Pl.gp
331 Rf.meo.C
332-335 Rf.meo.E
336 Rf.meo.C
337-338 Rs.rae
339 Kn.rot
340 Pl.gp
341 Kn.rot
342 Rs.rae
343 Pl.gp
344-346 Re.lr
347 Re.sp
348 Re.oe.E
349 Pl.gp
350 Pl.lp
351-353 Ex.re
354 Pl.lp
355 Ex.re
356 Pl.lp
357-358 Ex.re
359 Re.ca
360-361 Ex.re
362 Re.lr
363 Re.sp
364 Rf.meo
365 Rs.rae
366 Re.oe.C
367 Re.oe.E
368 Pl.gp
369 As.bcs.al
370 Re.oe.A
371 Re.oe.B
372 Re.oe.C
373 Re.oe.D
374 Re.oe.E
375 Re.oe.F
376 Co.ic
377 Rf.meo.C
378-379 Rf.meo.E
380 Pl.iv.wdm
381-384 Re.lr
385 Pl.gp
386 Re.oe.E
387 Re.oe.C
388 Rf.rp
389-390 Re.lr
391 Re.sp.iot
392 Co.ic
393 Pl.lp
394-395 Ex.re
396 Pl.lp
397-398 Ex.re
399-400 Pl.gp
401 Rf.meo.E
402-403 Rf.meo.C
404-405 Kn.rot
406-407 Kn.cod.wp
408-409 Rs.rtp.ot
410 Pl.gp
411 Rs.rtp.ot
412 Re.oe.C
413 Re.oe.E
414-415 Rf.meo.C
416 Rf.meo.E
417 Pl.iv
418-420 Re.lr
421 Kn.cod.wp
422 Co.ic
423 Pl.iv
424 Re.oe.C
425-427 Re.lr
428-429 Re.ca.al
430 Re.lr.al
431 Re.oe.C
432 Re.oe.C
433 Re.oe.E
434 Kn.rot
435 Co.ic
436 Pl.iv
437 Pl.lp
438-439 Rs.rae
440 Pl.lp
441 Re.ds.al
442-443 Pl.lp
444 Pl.lp
445 Rs.rae
446 Pl.lp
447 Co.ic
448 Pl.lp
449 Rs.rtp.qt
450 Co.ic
451 Re.oe.A
452 Rs.rae
453 Co.ic
454 Co.ic
455 Pl.iv.wdm
456-457 Re.lr
458 Re.oe.C
459 Rf.meo.C
460 Rf.meo.E
461 Rf.meo.C
462 Kn.rot
463 Rf.meo.C
464 Pl.gp
465 Re.co.ovo
466 Re.oe.F
467 Rf.rp
468 Pl.gp
469 Re.lr
470 Re.oe.A
471 Re.oe.B
472 Re.oe.C
473 Re.oe.D
474 Re.oe.E
475 Pl.gp
476 Rf.meo.C
477-478 Rf.meo.E
479 Rf.eoi
480 Re.co.ovo
481 Rf.meo.C
482 Re.sp
483 Re.oe.E
484 Pl.iv
485-486 Kn.cod.wp
487 Rs.rtp.qt
488 Re.lr
489-492 Re.lr
493 Re.oe.C
494 Pl.gp
495 Rs.rtp.ot
496 Rf.meo.C
497 Pl.gp
498 Rs.rtp.ot
499 Rf.meo.E
500-501 Re.cr
502-503 Kn.sk.ro
504 Co.ic
505-506 Kn.wk.fpc
507 Rs.rae
508 Re.lr
509 Pl.gp
510 Pl.lp
511-513 Rs.rtp.qt
514 Pl.lp
515 Co.ic
516 Pl.gp
517-518 Rs.rtp.ot
519 Rf.meo.C
520 Rf.meo.E
521 Kn.rot
522 Rf.meo.C
523-525 Re.lr
526-527 Re.lr
528-530 Rf.meo.E
531 Kn.rot
532 Co.ic
533 Pl.gp
534 Re.lr
535 Rf.meo.E
536 Pl.atc
537 Pl.gp
538 Pl.lp
539 Rs.rae
540 Pl.lp
541 Rs.rae
542 Pl.lp
543 Co.ic
544 Rs.rae
545 Pl.lp
546 Rs.rtp.qt
547 Pl.lp
548 Co.ic
549 Pl.lp
550 Kn.cod.wp
551 Pl.lp
552 Re.oe.A
553 Pl.lp
554 Rf.meo.C
555 Pl.lp
556 Re.oe.E
557 Pl.iv
558 Kn.cod.wp
559-560 Pl.lp
561 Kn.cod.wp
562 Re.lr
563-564 Pl.lp
565 Kn.cod.wp
566 Re.lr
567-568 Pl.lp
569 Kn.cod.wp
570 Re.lr
571 Co.ic
572 Co.ic
573 Pl.iv
574-576 Re.lr
577 Pl.iv
578 Re.ca.al
579-580 Re.lr
581 Co.ic
582 Pl.iv
583-584 Rs.rtp.qt
585 As.bcs.al
586 As.bcs.al
587-588 Re.ca.al
589-590 Re.lr
591 Kn.co
592 As.bcs.al
593 Re.lr
594 Pl.gp
595 Rs.rae
596 Rs.rtp.ot
597 Re.oe.E
598 Rs.rae
599 Co.ic
600 Pl.iv
601 Rs.rtp.ot
602 Rf.meo.C
603 Rs.rtp.ot
604 Re.oe.C
605 Re.oe.E
606 Kn.rot
607 Re.lr
608 Rf.eoi
609 Kn.rot
610 Rf.meo.E
611 Pl.iv
612 Re.lr
613 Kn.rot
614 Pl.iv
615 Re.lr
616 Kn.cod.wp
617 Pl.iv
618 Rs.rtp.ot
619 Re.oe.D
620 Co.ic
621 Pl.iv.wdm
622 Pl.gp
623 Kn.wk
624 Re.cr
625 Pl.gp
626-627 Rs.rtp.ot
628 Re.lr
629 Re.sp.iot
630-631 Re.lr
632 Rf.meo.E
633 Rf.meo.C
634 Co.ic
635 Pl.gp
636-637 Pl.lp
638 Rs.rae
639 Pl.lp
640 Rs.rae
641-642 Pl.lp
643 Rs.rae
644-645 Pl.lp
646-650 Rs.rae
651 Pl.lp
652 Co.ic
653 Pl.iv
654-656 Re.lr
657 Pl.iv.wdm
658 Rf.meo.C
659 Rf.meo.E
660 Pl.gp
661 Rf.meo.E
662 Rf.meo.C
663 Kn.rot
664 Pl.gp
665-666 Pl.lp
667 Kn.cod.wp
668 Pl.lp
669 Kn.cod.wp
670 Pl.lp
671 Kn.cod.wp
672-673 Re.lr
674 Co.ic
675 Rf.meo.E
676 Re.oe.C
677 Rf.meo.C
678 Rf.meo.E
679 Co.ic
680 Pl.iv+Rs.rtp.afi
681 Rs.rtp.afi
682 Pl.gp
683 Rs.rtp.qt
684-685 Rs.rae
686 Co.ic
687 Rs.rae
688 Co.fa
