0 Pl.iv.wdm+Re.lr.al
230-233 Re.lr
234 Pl.iv
235-236 Rs.rtp.qt
237 As.aau
238 Pl.lp
239-240 Ex.nel.al
241 Re.ca.al
242 Re.lr
243-247 Co.ic
248 Pl.iv.wdm
249 Re.lr
250 Rs.rtp.ot
251 Re.sp.iot
252 Kn.sk.ro
253 Re.oe.C
254 Re.oe.E
255 Rf.meo.E
256 Pl.gp
257-259 Re.lr
260 Re.oe.A
261 Re.oe.B
262 Re.oe.E
263 Rf.meo.E
264 Pl.gp
265 Pl.lp
266-268 Ex.re
269 Pl.lp
270 Ex.re
271 Pl.lp
272 Ex.re
273 Re.oe.C
274 Re.oe.E
275 Pl.gp
276 Re.oe.C
277 Re.oe.E
278 Re.lr
279-280 Re.oe.E
281 Re.co.ovo
282-283 Rs.rtp.ot
284 Pl.lp
285 Re.oe.C
286 Re.hwa.un
287 Re.hwa.mr
288 Re.hwa.er
289 Rf.meo.C
290 Rf.meo.E
291 Kn.cod.wp
292 Pl.iv
293-296 Re.lr
297 As.aau
298 Re.oe.E
299 Re.oe.A
300 Pl.iv.wdm+Re.lr
301 Re.lr
302 Re.oe.E
303 Pl.lp
304 Rs.rtp.ot
305 Rf.meo.E
306 Pl.lp
307 Rs.rtp.ot
308 Re.co.ovo
309 Re.oe.C
310 Re.oe.E
311 Rf.meo.E
312 Pl.gp
313 Pl.iv
314-318 Re.lr
319 As.bcs.al
320-321 Re.ca.al
322 Re.lr.al
323 Re.cr
324 As.bcs.al
325 Re.ca.al
326 Pl.iv
327-328 Rs.rtp.qt
329 Re.co.pvo
330-331 Kn.wk
332 Pl.gp
333 Re.oe.C
334 Rf.meo.C
335 Re.oe.E
336 Kn.cod.wp
337 Kn.cod
338-339 Re.lr
340 Kn.cod.wp
341 Co.ic
342 Kn.rot
343-345 Re.oe.C
346 Re.oe.E
347 Pl.lp
348 Re.oe.F
349 Re.oe.E
350 Co.ic
351 Pl.iv
352 Re.lr
353 Pl.iv
354-359 Re.lr.al
360 Pl.gp
361 Pl.lp
362 Rs.rae
363 Pl.lp
364 Rs.rae
365 Pl.lp
366 Rs.rae
367 Pl.lp
368 Rs.rtp.qt
369 Pl.lp
370 Co.ic
371 Pl.lp
372 Co.ic
373 Pl.lp
374 Re.oe.A
375 Pl.lp
376-377 Re.oe.C
378 Pl.lp
379-380 Re.oe.E
381 Pl.iv
382-385 Re.lr
386 Co.ic
387 Pl.iv.wdm
388-389 Kn.wk.fpc
390 Re.co.pvo
391 Re.oe.E
392 Re.oe.A
393 Re.oe.E
394 Rf.meo.E
395 Pl.iv
396-397 Re.oe.C
398 Re.oe.E
399 Kn.rot
400 Pl.lp
401 Kn.rot
402 Co.ic
403 Pl.gp
404 Rs.rtp.ot
405 Re.cr
406 Pl.lp
407 As.bcs
408 Rf.meo.E
409 Rf.meo.C
410 Rf.meo.E
411 Pl.iv.wdm
412 Re.lr
413-414 Re.sp.iot
415 Rf.meo.C
416 Rf.meo.E
417 Co.ic
418 Pl.gp
419 Re.oe.F
420-421 Re.oe.E
422-423 Re.oe.C
424 Re.oe.E
425 Pl.iv
426-430 Re.lr
431 As.aau
432 Pl.lp
433 Re.lr
434-435 Co.ic
436 Pl.iv
437-438 Pl.lp
439 Kn.cou
440-448 Ex.nel.al
449 Re.lr.al
450 Re.ca.al
451 Rs.rtp.qt
452-453 Co.ic
454 Co.fa
