0 Re.oe.B
130 Re.oe.C
131 Rf.meo.C
132 Rf.meo.D
133 Rf.meo.E
134 Rf.meo.F
135 Pl.gp
136-137 Re.lr.al
138 Re.oe.A
139 Pl.gp
140 Re.lr
141 Co.ic
142 Re.oe.E
143 Re.oe.F
144 Pl.gp
145-146 Re.sp.iot
147 Re.lr
148 Rs.rtp.ot
149 Rf.meo.C
150 Re.oe.F
151 Rf.meo.C
152 Pl.iv.wdm+Rs.rtp.ot
153-155 Re.lr
156-157 Re.oe.C
158 Re.hwa.un
159-161 Re.sp.iot
162 Pl.gp
163 Re.lr
164-165 Ex.nel.al
166-167 Re.lr.al
168 Pl.gp
169 Kn.wk
170 Pl.lp
171-176 Rs.rtp.ot
177 Re.oe.C
178 Rf.meo.C
179 Re.oe.F
180 Pl.gp
181 Re.oe.A
182 Re.oe.C
183 Re.oe.E
184 Rf.meo.C
185 Re.sp.iot
186 Rs.rtp.ot
187 Re.sp.iot
188 Pl.iv.wdm
189 Re.lr
190 Rs.rtp.ot
191 Re.oe.E
192 Rf.meo.E
193-195 Re.co.ovo
196 Pl.gp
197 Re.oe.F
198 As.bcs
199 Re.lr
200 Rf.meo.C
201 Re.un
202 Re.lr
203 Pl.gp
204-206 Re.lr
207 Rf.meo.F
208 Pl.gp
209 Pl.lp
210 Re.co.ovo
211 Pl.lp
212 Re.oe.C
213 Rs.rtp.afi
214 Pl.ib
215 Re.co.pvo
216 Re.oe.A
217 Re.oe.E
218 Re.oe.C
219 Rf.meo.C
220 Pl.lp
221-222 Re.lr
223 Rf.meo.C
224 Pl.lp
225-226 Re.lr
227 Pl.lp
228 Re.lr
229 Re.sp.iot
230 Rf.meo.C
231 Pl.lp
232 Rs.rtp.ot
233 Re.oe.C
234-235 Rf.meo.C
236 Pl.gp
237 As.bcs.al
238 Kn.co
239 As.bcs.al
240 Re.lr.al
241 Co.ic
242 Pl.gp
243 Kn.wk.fpc
244 Pl.lp
245-247 Kn.wk.fpc
248 Pl.lp
249 Kn.wk.fpc
250 Pl.lp
251 Kn.wk.fpc
252 Re.co.pvo
253 Re.sp.iot
254 Re.oe.A
255 Re.co.ovo
256 Re.oe.C
257 Rf.meo.C
258 Re.oe.C
259 Rf.eoi
260-261 Re.sp.iot
262 Re.oe.E
263 Rf.meo.C
264 Pl.gp
265 Re.lr.al
266 Re.lr
267 Kn.co
268 Re.ca.al
269 Pl.gp
270 Rs.rtp.ot
271 Rf.meo.E
272 Rs.rtp.ot
273 Rf.meo.F
274 Re.co.ovo
275 Rf.meo.E
276 Re.sp.iot
277 Rs.rtp.qt
278 Rf.meo.C
279 Rs.rtp.ot
280 Re.oe.C
281 Re.co.ovo
282-283 Re.oe.C
284 Pl.gp
285 Re.oe.F
286 Re.lr
287 Re.oe.F
288 Rs.rtp.ot
289 Rf.meo.C
290 Re.co.ovo
291 Re.hwa.un
292 Re.hwa.mr
293 Re.hwa.er
294 Co.ic
295 Pl.gp
296 Re.lr
297 Pl.gp
298 As.bcs.al
299 Re.ca.al
300-301 Re.lr.al
302 Kn.co
303 Pl.gp
304-305 Re.lr.al
306 Pl.gp
307 Pl.lp
308 Co.ic
309 Pl.lp
310 Co.ic
311 Pl.lp
312 Re.oe.A
313 Pl.lp
314 Re.oe.C
315 Pl.lp
316 Rs.rtp.ot
317 Rf.meo.E
318 Pl.lp
319 Rf.meo.F
320 Pl.gp
321 Rf.meo.E
322 Rf.meo.C
323 Kn.wk
324 Kn.rot
325-327 Re.lr
328 Kn.cod.wp
329-331 Re.lr
332-333 Re.co.ovo
334 Re.oe.C
335 Re.oe.E
336 Rs.rtp.ot
337-338 Rf.meo.C
339 Rs.rtp.ot
340 Rf.meo.C
341 Pl.iv.wdm
342 Rs.rtp.qt
343-344 Ex.nel.al
345 Pl.iv.wdm
346 Re.ca.al
347 Re.lr.al
348 Re.ca.al
349-352 Re.lr.al
353 Pl.iv.wdm+Kn.wk.fpc
354 As.bcs.al
355-356 Re.ca.al
357 Re.lr.al
358 Re.co.pvo
359 Co.ic
360 Pl.ib.wdm
361 Rs.rae
362 Co.ic
363 Pl.iv
364 As.bcs.al
365-367 Re.ca.al
368 Re.lr.al
369-371 Co.ic
372 Rf.meo
373 Re.co.pvo
374 Kn.wk.fpc
375 Re.co.pvo
376 Co.ic
377 Re.sp.iot
378 Re.lr.al
379 Re.sp.iot
380 Pl.gp
381 Rs.rtp.ot
382 Re.hwa.un
383 Re.sp.iot
384 Re.hwa.mr
385 Rf.meo.C
386 Rs.rtp.ot
387 Re.oe.F
388 Rs.rtp.ot
389 Re.oe.C
390 Rf.meo.C
391 Re.oe.C
392 Rs.rtp.ot
393 Re.hwa.mr
394 Re.hwa.er
395 Pl.gp
396 Rs.rtp.qt
397 Re.oe.F
398 Rf.meo.C
399 Pl.gp
400-403 Re.lr
404 Pl.gp
405 Rf.rp
406 Rf.meo.A
407 Rf.meo.B
408 Rf.meo.C
409 Rf.meo.D
410 Rf.meo.E
411 Rf.meo.F
412 Pl.lp
413-414 Rs.rtp.ot
415 Re.co.ovo
416 Rf.meo.E
417 Re.oe.C
418 Rs.rtp.ot
419 Re.hwa.un
420 Ex.re
421 Re.lr
422 Ex.re
423 Re.sp.iot
424 Rf.meo.C
425 Pl.gp
426 Kn.rot
427 Re.oe.C
428 Re.co.ovo
429 Rf.meo.E
430 Rf.meo.F
431 Pl.gp
432-433 Rs.rtp.qt
434 Re.oe.A
435 
